,month,district,r2 score,error score,mse,seasonal_month
71,6,Westlands,0.8648840421148489,0.036622533175864704,0.12019915613463038,1
60,6,Del Puerto,0.7368643006428932,0.03388241430702146,0.2682551678747765,1
61,6,Turlock,0.7853498347999055,0.01821066269837995,0.20360718331001434,1
62,6,Modesto,0.3581045227951767,0.01647869079680847,0.3184403343945803,1
63,6,Merced,0.6151660389721272,0.03922325902979594,1.7958918181300731,1
64,6,South Sutter,-0.2833935882585301,0.04052371496822027,0.20534297412136487,1
65,6,South San Jaoquin,0.9922922786112891,3.877523971408088e-05,0.0013247646136846924,1
66,6,Oakdale (Tier1),0.0,2.5069992725548213e-05,0.001253499636277411,1
67,6,Oakdale (Tier2),0.0,0.00013337301626441852,0.006668650813220925,1
68,6,Central California,-0.7435305008315212,0.028132243514307344,0.735551930038298,1
69,6,Fresno,0.6166855113098172,0.4784965149901451,0.6346201611222669,1
70,6,Tulare,-0.22370185331938952,70.92621545790524,1.0923066857982362,1
83,7,Westlands,0.9072259659313828,0.04385517498682317,0.08253178070744185,2
82,7,Tulare,0.3640859520905817,50.5252689770305,0.5676326829450191,2
72,7,Del Puerto,0.7556894950492087,0.014881200122328608,0.24906371761515939,2
73,7,Turlock,0.5915499392015264,0.050411983383740054,0.3874367686810646,2
74,7,Modesto,0.4262886100778407,0.014757866095633312,0.28461463484419625,2
75,7,Merced,0.7494756512228042,0.0006611630065619066,1.1691136276269134,2
76,7,South Sutter,-0.7870716863932916,0.08030306595164752,0.2859314698229267,2
77,7,South San Jaoquin,0.09164415685771732,0.0031337992205002743,0.15612366054007984,2
78,7,Oakdale (Tier1),0.0,0.005260144318974328,0.2630072159487164,2
79,7,Oakdale (Tier2),0.0,0.03238774650978565,1.619387325489283,2
80,7,Central California,-0.6627085985601298,0.02650689766250366,0.7014551900175547,2
81,7,Fresno,0.5274454281014374,0.7720100357146995,0.7823671356177735,2
90,8,Oakdale (Tier1),0.0,0.0027089481789159564,0.13544740894579782,3
95,8,Westlands,0.8640469607209553,0.05099612254982288,0.1209438237426382,3
94,8,Tulare,-0.002842895155657832,9.134223014198238,0.8951624909387785,3
93,8,Fresno,-0.8720732914661637,2.977749924129695,3.0994274646978073,3
91,8,Oakdale (Tier2),0.0,0.013805339753675495,0.6902669876837747,3
89,8,South San Jaoquin,0.5366833436465281,0.001601463467996306,0.07963255031075296,3
92,8,Central California,-0.6669980606143158,0.026512293191563542,0.7032648068216645,3
87,8,Merced,0.06855420997787376,0.0364479168375016,4.346747020103256,3
86,8,Modesto,0.1466552358058003,0.035699236539683675,0.42333900411196623,3
85,8,Turlock,0.21474990145753015,0.10276220522314614,0.7448517945891293,3
84,8,Del Puerto,0.745257476838969,0.03918995158509461,0.25969869722111066,3
88,8,South Sutter,0.22001818461539457,0.04327876210129115,0.12479709046153689,3
99,9,Merced,-0.2626019235571644,0.002820440539495053,5.892142309933433,4
96,9,Del Puerto,0.8232534080488396,0.03806881085895606,0.18018530671054156,4
97,9,Turlock,0.5747696826516221,0.042757883286977195,0.4033537411565366,4
98,9,Modesto,0.5351804696125815,0.013370830354443277,0.23059406390313342,4
100,9,South Sutter,0.3870652544811082,0.01281598909816771,0.09806955928302272,4
102,9,Oakdale (Tier1),0.0,0.004110980916665962,0.20554904583329808,4
103,9,Oakdale (Tier2),0.0,0.019115863560188993,0.9557931780094496,4
104,9,Central California,-0.9196532308777494,0.030789246651526412,0.8098537067765506,4
105,9,Fresno,0.14619782299162443,0.7542303533816589,1.4135653389756015,4
106,9,Tulare,0.08001166467692211,5.560250519024114,0.8212044517248136,4
107,9,Westlands,0.9406434288216653,0.03768898700933224,0.052803605720246574,4
101,9,South San Jaoquin,0.2972439165732794,0.002416502972025398,0.1207862018389676,4
118,10,Tulare,0.34433369609854425,5.743393002537534,0.5852640375279803,5
117,10,Fresno,-0.03444282259916909,1.601634814253971,1.7126362037419918,5
116,10,Central California,-0.8284144336663573,0.029189249809729423,0.7713623392029945,5
115,10,Oakdale (Tier2),0.0,0.02611137155025144,1.3055685775125718,5
114,10,Oakdale (Tier1),0.0,0.004298754036434502,0.2149377018217251,5
113,10,South San Jaoquin,0.2668888809235851,0.002529875710939801,0.12600347359125882,5
112,10,South Sutter,0.7799714063235507,0.006592954868320589,0.0352045749882319,5
119,10,Westlands,0.8505032689440288,0.03321680653409466,0.13299229194739198,5
111,10,Merced,0.5445275800743232,0.039653972727366094,2.1255379596531583,5
110,10,Modesto,0.18747012374859784,0.024311847496024386,0.40309099329659404,5
109,10,Turlock,0.6514990428300589,0.04214473951732993,0.3305718316315761,5
108,10,Del Puerto,0.888108635583761,0.020051780514002193,0.11406828042926029,5
131,11,Westlands,0.9082226311014883,0.032212501956928846,0.08164514737211609,6
130,11,Tulare,0.23014930579927406,17.438687653305312,0.6871878620276843,6
129,11,Fresno,-0.27661776574463226,2.461765772957043,2.113584005021088,6
128,11,Central California,-0.8587672409654867,0.029651957652485236,0.7841674297823147,6
127,11,Oakdale (Tier2),0.0,0.022184576227650236,1.1092288113825117,6
120,11,Del Puerto,0.8863542539521004,0.0176973256847176,0.11585679464556518,6
125,11,South San Jaoquin,0.35980819547925913,0.0022113973837313283,0.11003296640200233,6
124,11,South Sutter,-0.6987711987526557,0.03669521589861426,0.27180339180042495,6
122,11,Modesto,0.5511075324115311,0.013137395795586183,0.22269274759271696,6
121,11,Turlock,0.5858369425892268,0.04673582846962608,0.3928558520878052,6
126,11,Oakdale (Tier1),0.0,0.003757848101059998,0.1878924050529999,6
123,11,Merced,0.40339781440034783,0.010586888792243485,2.784143532798377,6
132,12,Del Puerto,0.7567937518353275,0.04280207684449894,0.24793797682718996,7
133,12,Turlock,0.7179567176856732,0.02301389254258803,0.2675331660238852,7
134,12,Modesto,0.527532203481343,0.013082582159159035,0.2343883209291775,7
135,12,Merced,0.40006713286414963,0.013305461853952351,2.7996867133006353,7
136,12,South Sutter,0.11426462281797545,0.019589443453750913,0.14171766034912395,7
137,12,South San Jaoquin,0.8248683064348095,0.0006087208063873734,0.030100759831517127,7
138,12,Oakdale (Tier1),0.0,0.001001944980749353,0.05009724903746766,7
139,12,Oakdale (Tier2),0.0,0.004870484305663143,0.24352421528315712,7
140,12,Central California,-1.0271049417650726,0.032182858547403145,0.8551848973071401,7
141,12,Fresno,-0.3164138943603225,1.18362350556491,2.1794709628567586,7
143,12,Westlands,0.7151284179046595,0.0720011635832571,0.25342175943201495,7
142,12,Tulare,0.18239959501380043,38.17026589162249,0.729810440554001,7
11,1,Westlands,0.8921848494250559,0.04410826662993497,0.09591235795147023,8
10,1,Tulare,0.10975729288980929,29.57172389402102,0.794652764741526,8
9,1,Fresno,0.3789340594370404,0.5641818623173572,1.028244376085104,8
8,1,Central California,-0.8997384585605619,0.03045645387366871,0.8014521622052371,8
7,1,Oakdale (Tier2),0.0,0.02734519978690595,1.3672599893452977,8
0,1,Del Puerto,0.8551180233158503,0.01872698073337078,0.14770074555596918,8
5,1,South San Jaoquin,0.22117724989162857,0.0026796178525312873,0.13386016017487634,8
4,1,South Sutter,0.8447928912891243,0.00811718764536846,0.024833137393740125,8
3,1,Merced,0.5562387184396178,0.03805220495054673,2.0708859806151168,8
2,1,Modesto,0.4003919696277324,0.014059987395493691,0.29746179631749214,8
1,1,Turlock,0.6994990807805839,0.01991796911429009,0.2850412236454618,8
6,1,Oakdale (Tier1),0.0,0.004412653539206336,0.2206326769603168,8
23,2,Westlands,0.8388335991199816,0.017493615101522832,0.1433736302228644,9
22,2,Tulare,0.4431722562394558,49.071469869868665,0.4970382824032879,9
21,2,Fresno,0.3560039908510786,0.4367405762831262,1.0662076784123724,9
20,2,Central California,-0.8793222705974553,0.029995934987708788,0.7928390829083014,9
19,2,Oakdale (Tier2),0.0,0.029074319087916568,1.4537159543958285,9
18,2,Oakdale (Tier1),0.0,0.005098239893873142,0.2549119946936571,9
16,2,South Sutter,-0.23107203032772694,0.024960454420332567,0.19697152485243635,9
15,2,Merced,0.6031501945240367,0.04032338223770783,1.8519657588878289,9
13,2,Turlock,0.8617596948987862,0.0039982792988843985,0.13112833673031224,9
12,2,Del Puerto,0.744090419769956,0.05359401273417293,0.26088846011049593,9
17,2,South San Jaoquin,0.06613837442380988,0.0032102279592043127,0.16050746689590767,9
14,2,Modesto,0.6053104807213129,0.009420011099084163,0.1958030037046612,9
28,3,South Sutter,0.8162168549618763,0.007763162392160001,0.029405303206099794,10
24,3,Del Puerto,0.8164117896026617,0.03753706983162111,0.18716003309429957,10
25,3,Turlock,0.7105587132536194,0.03266276471948912,0.2745505696355774,10
26,3,Modesto,0.28974562186496455,0.01880610932591444,0.35235275790292775,10
27,3,Merced,0.6348140172630384,0.014357700583178142,1.7042012527724875,10
29,3,South San Jaoquin,0.5866495121311648,0.001436815208216858,0.07104461510245604,10
31,3,Oakdale (Tier2),0.0,0.012751200971692436,0.6375600485846219,10
32,3,Central California,-0.9180498687779215,0.0306375919407742,0.8091772883906856,10
33,3,Fresno,0.9238078518024077,0.036410813912139996,0.12614465352101384,10
34,3,Tulare,0.6174466912462511,24.514309867931885,0.34147659063558905,10
35,3,Westlands,0.8547675288982576,0.01588586946907189,0.12919880629211009,10
30,3,Oakdale (Tier1),0.0,0.002398606612409172,0.11993033062045859,10
47,4,Westlands,0.8630875486165023,0.040547686714695434,0.12179731675075962,11
46,4,Tulare,0.4362773366414713,6.367109192617301,0.5031928589894803,11
44,4,Central California,-0.8818709270837846,0.030086690210647547,0.7939142973634716,11
43,4,Oakdale (Tier2),0.0,0.003502966163301348,0.17514830816506738,11
42,4,Oakdale (Tier1),0.0,3.5042895206710716e-05,0.0017521447603355358,11
45,4,Fresno,0.588380128694609,0.21446659354458514,0.6814828991765276,11
40,4,South Sutter,0.5528827604323947,0.022817942801702358,0.07153875833081685,11
39,4,Merced,0.7111816776939374,0.01693063393573823,1.3478188374282922,11
38,4,Modesto,0.6017963225410928,0.01130407655261366,0.19754635561437972,11
37,4,Turlock,0.7871926361772423,0.015947266702976606,0.20185918746063022,11
36,4,Del Puerto,0.8318715219607978,0.04643506129140446,0.17139952203797668,11
41,4,South San Jaoquin,0.9891978173286726,5.431371133239377e-05,0.0018566251466343904,11
58,5,Tulare,0.8027883294590036,0.3812560693856819,0.17603603824333294,12
57,5,Fresno,0.7984820676591213,0.035599455470949774,0.33363555635007713,12
56,5,Central California,-0.6165851430341718,0.025499580922152442,0.6819968572175412,12
55,5,Oakdale (Tier2),0.0,7.022596342462099e-06,0.0003511298171231049,12
54,5,Oakdale (Tier1),0.0,5.737141571963937e-06,0.00028685707859819686,12
51,5,Merced,0.6524177917347944,0.014862466272180797,1.6220503052376263,12
52,5,South Sutter,0.5296621484217177,0.026124428640740452,0.0752540562525252,12
50,5,Modesto,0.41686832458051826,0.015865588248550097,0.2892879796026335,12
49,5,Turlock,0.7201073011119317,0.029496125855534922,0.26549322240918766,12
48,5,Del Puerto,0.5763239138630287,0.05710065192794569,0.4319189676234705,12
53,5,South San Jaoquin,0.9948757656292759,3.040567236311148e-05,0.0008807277824682084,12
59,5,Westlands,0.8534819840228592,0.04021611791606101,0.13034242701326443,12
